year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2022,553869,1.402,49.43138658249786,28.653,29.3,0,1,1,0
2022,553869,1.383,52.49032359462156,27.525,28.7,0,1,1,0
2022,553882,NA,49.28586044923465,29.953,27.2,0,1,0,0
2022,553882,1.636,49.75191364079358,28.353,28.3,0,1,1,0
2022,553882,NA,37.24252282769744,40.487,28.6,0,1,0,0
2022,553882,NA,49.1201588916547,28.407,28.7,0,1,0,0
2022,553882,NA,45.46151039733961,31.705,27.9,0,1,0,0
2022,553882,1.458,40.74950731923989,37.728,27.6,0,1,1,0
2022,553882,1.569,50.9294729609037,28.238,27.9,1,0,1,0
2022,553882,NA,29.054895982523288,46.694,28.8,0,1,0,0
2022,571466,1.484,49.661330039447385,29.456,27,0,1,1,0
2022,571466,NA,61.900084466930075,19.961,28.8,0,1,0,0
2022,571466,NA,47.98805117405176,31.661,26.4,0,1,0,0
2022,571466,1.704,48.263637185487454,32.343,25.5,0,1,1,0
2022,571466,NA,42.26159742659732,36.5,27.4,0,1,0,0
2022,571466,1.543,48.86426528696751,29.42,30.4,1,0,1,0
2022,571466,1.551,52.97406248867267,26.076,28.5,0,1,1,0
2022,571912,NA,45.4724200392761,34.76,30.1,0,1,0,0
2022,571912,1.678,54.23305263613214,26.785,27.3,1,0,1,0
2022,571912,1.459,49.184028892737665,29.822,28.8,1,0,1,0
2022,571912,NA,40.63899460827467,37.811,27.9,0,1,0,0
2022,571912,1.533,47.919068130491034,30.003,28.5,0,1,1,0
