team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,4,top,-4,0,0.14914826047467633,0.15763090100655375,-0.008482640531877417,KEEP
away,4,top,-4,1,0.1186784419814838,0.12821954282112324,-0.009541100839639438,KEEP
away,4,top,-4,2,0.09654433126160356,0.10594923359249941,-0.009404902330895859,KEEP
away,4,top,-3,0,0.2210111359863628,0.230991080093644,-0.009979944107281202,KEEP
away,4,top,-3,1,0.1817333987680947,0.1942620344096997,-0.012528635641605002,KEEP
away,4,top,-3,2,0.15230900045713114,0.16554716822265547,-0.013238167765524333,KEEP
away,4,top,-2,0,0.31430626281509433,0.324901226688295,-0.010594963873200691,KEEP
away,4,top,-2,1,0.2673522168284781,0.2825900124168055,-0.015237795588327385,KEEP
away,4,top,-2,2,0.23107273176500875,0.24846768921363815,-0.0173949574486294,KEEP
away,4,top,-1,0,0.4265977031855068,0.4365613445947424,-0.009963641409235557,KEEP
away,4,top,-1,1,0.37548356452157905,0.39251602475720915,-0.017032460235630098,KEEP
away,4,top,-1,2,0.33489003738651557,0.35605034620588016,-0.021160308819364593,KEEP
away,4,top,0,0,0.5494539150984676,0.557948794054924,-0.008494878956456398,KEEP
away,4,top,0,1,0.5008181276273215,0.5175717248508064,-0.016753597223484906,KEEP
away,4,top,0,2,0.4614971922933734,0.4835637493164724,-0.02206655702309901,KEEP
away,4,top,1,0,0.6666843891255645,0.673352911942497,-0.006668522816932532,KEEP
away,4,top,1,1,0.6259611701083352,0.6402590721297972,-0.014297902021461972,KEEP
away,4,top,1,2,0.5927064260658967,0.612097883829527,-0.01939145776363027,KEEP
away,4,top,2,0,0.7650039972874342,0.769925462238851,-0.004921464951416876,KEEP
away,4,top,2,1,0.7334612479176088,0.7447125615119127,-0.011251313594303869,KEEP
away,4,top,2,2,0.7075168468380645,0.7230953899688286,-0.015578543130764122,KEEP
away,4,top,3,0,0.8412456870237973,0.8446923402521853,-0.003446653228387997,KEEP
away,4,top,3,1,0.8183230451508916,0.8266050510340641,-0.008282005883172516,KEEP
away,4,top,3,2,0.7993673637709159,0.8110087153880317,-0.01164135161711577,KEEP
away,4,top,4,0,0.896697528341202,0.8990066432366838,-0.002309114895481801,KEEP
away,4,top,4,1,0.8808855621165881,0.8866595275555353,-0.0057739654389472594,KEEP
away,4,top,4,2,0.8677556370033364,0.8759653580958104,-0.008209721092474087,KEEP
away,4,top,5,0,0.9349717911518546,0.9364611105778765,-0.001489319426021929,KEEP
away,4,top,5,1,0.9245308688473688,0.9283777004156332,-0.003846831568264375,KEEP
away,4,top,5,2,0.9158324808558659,0.921351648757623,-0.005519167901757105,KEEP
away,4,top,6,0,0.9602570156310198,0.9611867151200093,-9.296994889894661e-4,KEEP
away,4,top,6,1,0.9536135969096224,0.9560797186509916,-0.002466121741369176,KEEP
away,4,top,6,2,0.9480646442119021,0.9516284756929975,-0.003563831481095403,KEEP
away,4,top,7,0,0.9763514061880606,0.9769160567761292,-5.646505880686492e-4,KEEP
away,4,top,7,1,0.9722554623924626,0.9737851749217157,-0.0015297125292530467,KEEP
away,4,top,7,2,0.9688279803008758,0.9710511481407031,-0.0022231678398273447,KEEP
